"Billing address","Faktura adresse"
"Shipping address","Forsendelses adresse"
"Shipping method","Forsendelses metode"
"Time of Delivery","Leveringstid"
"Payment methods","Betalings middel"
"Order Review","Ordre status"
"First Name","Fornavn"
"Last Name","Efternavn"
"Email Address","E-mail adresse"
"Company","Virksomhed"
"Country","Land"
"State/Province","Stat/Provins"
"Zip/Postal","Postnummer"
"City","By"
"Address","Adresse"
"Telephone","Telefon"
"Fax","Fax"
"Tax/VAT number","CVR-nummer"
"Date of Birth","Fødselsdato"
"Gender","Køn"
"Prefix","Præfiks"
"M.I.","M.I."
"Suffix","Suffiks"
"MM","MM"
"DD","DD"
"YYYY","ÅÅÅÅ"
"Save in address book","Gem i adressebog"
"Create Account","Opret konto"
"Password","Kodeord"
"Confirm Password","Gentag kodeord"
"Ship to billing address","Forsendelse til Faktura adresse"
"Comments","Kommentar"
"Already registered? Click here to login.","Er du allerede registreret? Klik her for log-in"
"Customer Login","Kunde log-in"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"">Terms and Conditions</a>","Jeg acceptere  <a class=""terms-link"" href=""%s"" rel=""#terms-block"">Handelsvilkår og -betingelser</a>"
"Login","Log-in"
"Forgot Your Password?","Glemt dit kodeord?"
"Place Order","Afgiv ordre"
"Subscribe to newsletter","Abonnere på nyhedsbrev"
"* This field is required","* Dette felt skal udfyldes"
"* Please select an option","* Venligst vælg en option"
"* This checkbox is required","* Venligst afkryds felt"
"*Between ","* Mellem "
" and "," og "
"characters allowed","tekst tilladt"
"* Checks allowed Exceeded","* Valgmuligheder overskredet"
"* Please select ","* Vælg venligst"
" options","Valgmuligheder"
"* Your field is not matching","* Felter stemmer ikke overens"
"* Invalid phone number","* Ugyldig telefon nummer"
"* Invalid email address","* Ugyldig E-mail adresse"
"* Invalid date, must be in YYYY-MM-DD format","* Ugyldig dato, format ÅÅÅÅ-MM-DD skal benyttes"
"* Numbers only","* Kun tal tilladt"
"* This user is available","* Denne bruger er tilgængelig"
"* Loading, please wait","* Vent venligst"
"* This user is already taken","* Dette brugernavn eksistere allerede"
"* This name is already taken","* Dette navn eksistere allerede"
"* This name is available","* Dette navn er til rådighed"
"* Letters only","* Kun tekst"
"* You must have a firstname and a lastname","* Du skal have et Fornavn og Efternavn"
"Check this checkbox if you want to add gift messages.","Klik denne boks, hvis du ønsker at tilføje meddelelse eller lykønskning"
"Enter a gift message for entire order.","Skriv den ønskede meddelelse eller lykønskning"
"You can leave this box blank if you do not wish to add a gift message for whole order.","De kan lade denne boks stå tom, hvis de ikke ønsker at tilføje meddelelse eller lykønskning til hele ordren"
"From","Fra"
"To","Til"
"Message","Meddelelse"
"Item %d of %d","Artikel %d af %d"
"Updating information, please wait...","Opdatere infomation, vent venligst..."
"General","Generelt"
"Enable LightCheckout","Aktiver LightCheckout"
"Default Country","Standard Land"
"Default Shipping Method","Standard forsendelses metode"
"Default Payment Method","Standard betalingsmetode"
"Page Title","Side Titel"
"Page Content","Side Indhold"
"Enable Different Shipping Address","Aktiver anden leveringsadresse"
"Enable Delivery Date","Aktiver leveringsdato"
"Enable GeoIP for Country","Aktiver GeoIP for land"
"Registration","Registrering"
"Checkout Mode","Indkøbskurv mode"
"Registered and guest customers","Registrerede- og engangsbesøgende"
"Only registered customers","Kun registrerede besøgende"
"Only guest customers","Kun engangsbesøgende"
"Enable/Disable Address Fields","Aktiver/Deaktiver adresse felt"
"Region","Region"
"Zip/Postcode","Postnummer"
"Newsletter Checkbox","Nyhedsbrev Checkboks"
"Sort Address Fields","Sorter adresse felter"
"Company Order","Ordre fordelt på virksomhed"
"Country Order","Ordre fordelt på Land"
"City Order","Ordre fordelt på by"
"Telephone Order","Ordre fordelt på telefon"
"Fax Order","Ordre fordelt på fax"
"Region Order","Ordre fordelt på region"
"Address Order","Ordre fordelt på adresse"
"Zip/Postcode Order","Ordre fordelt på postnummer"
"Terms & Conditions","Handelsvilkår og -betingelser"
"Enable Terms and Conditions","Aktiver handelsvilkår og -betingelser"
"Terms and Conditions Text","Handelsvilkår og -betingelser"
"Popup Width in Pixels","Popup brede i Pixels"
"Popup Height in Pixels","Popup højde i Pixels"
"Enable","Aktiver"
"Disable","Deaktiver"
"Required","Kræves"
"Optional","Valgfri"
"Yes","Ja"
"No","Nej"
