"﻿""Billing address""","Rechnungsadresse"
"Shipping address","Versandadresse"
"Shipping method","Versandart"
"Time of Delivery","Lieferzeit"
"Payment methods","Zahlweise"
"Order Review","Bestellübersicht"
"First Name","Vorname"
"Last Name","Nachname"
"Email Address","E-Mail Adresse"
"Company","Firma"
"Country","Land"
"State/Province","Bundesland/Kanton"
"Zip/Postal","Postleitzahl"
"City","Stadt"
"Address","Adresse"
"Telephone","Telefon"
"Fax","Fax"
"Tax/VAT number","Ust.-ID"
"Date of Birth","Geburtstag"
"Gender","Geschlecht"
"Prefix","Prefix"
"M.I.","M.I."
"Suffix","Suffix"
"MM","MM"
"DD","TT"
"YYYY","JJJJ"
"Save in address book","Im Adressbuch speichern"
"Create Account","Benutzerkonto anlegen"
"Password","Passwort"
"Confirm Password","Passwort bestätigen"
"Ship to billing address","An Rechnungsadresse schicken"
"Comments","Kommentare"
"Already registered? Click here to login.","Bereits registriert? Hier klicken, um einzuloggen"
"Customer Login","Kundenlogin"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"">Terms and Conditions</a>","Ich stimme den <a class=""terms-link"" href=""%s"" rel=""#terms-block"">Allgemeinen Geschäftsbedingungen</a> zu"
"Login","Anmelden"
"Forgot Your Password?","Passwort vergessen?"
"Place Order","Bestellung abschließen"
"Subscribe to newsletter","Für Newsletter anmelden"
"* This field is required","* Dies ist ein Pflichtfeld"
"* Please select an option","* Bitte eine Option auswählen"
"* This checkbox is required","* Pflichtangabe"
"*Between ","* Zwischen"
" and "," und "
"characters allowed","erlaubte Zeichen"
"* Checks allowed Exceeded","* Erlaubte Optionen überschritten"
"* Please select ","* Bitte auswählen"
" options"," optionen"
"* Your field is not matching","* Bitte stellen Sie sicher, dass Ihre Passwörter übereinstimmen."
"* Invalid phone number","* Ungültige Telefonnummer"
"* Invalid email address","* Ungültige E-Mail Adresse"
"* Invalid date, must be in YYYY-MM-DD format","* Ungültige Datumsangabe, erlaubt ist JJJJ-MM-TT"
"* Numbers only","* Nur Zahlen erlaubt"
"* This user is available","* Der Benutzername ist verfügbar"
"* Loading, please wait","* Bitte warten, wird geladen..."
"* This user is already taken","* Der Benutzername ist bereits vergeben"
"* This name is already taken","* Der Name ist bereits vergeben"
"* This name is available","* Der Name ist verfügbar"
"* Letters only","* Nur Buchstaben erlaubt"
"* You must have a firstname and a lastname","* Sie müssen Vornamen und Nachnamen angeben"
"Check this checkbox if you want to add gift messages.","Setzen Sie hier einen Haken, wenn Sie Geschenknachrichten eingeben möchten."
"Enter a gift message for entire order.","Geben Sie eine Geschenknachricht für die gesamte Bestellung ein."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Sie können dieses Feld leer lassen, wenn Sie für diese Bestellung keine Geschenknachricht eingeben möchten."
"From","Von"
"To","An"
"Message","Nachricht"
"Item %d of %d","Artikel %d von %d"
"Updating information, please wait...","Aktualisiere Daten, bitte warten..."
"General","Allgemein"
"Enable LightCheckout","Aktiviere LightCheckout"
"Default Country","Standard Land"
"Default Shipping Method","Standard Versandart"
"Default Payment Method","Standard Zahlungsweise"
"Page Title","Seite Titel"
"Page Content","Seiteninhalt"
"Enable Different Shipping Address","Aktiviere mehrere Lieferadressen"
"Enable Delivery Date","Aktiviere Lieferdatum"
"Enable GeoIP for Country","Aktiviere GeoIP für Länder"
"Registration","Registrierung"
"Checkout Mode","Kassen Modus"
"Registered and guest customers","Registrierte und Gäste"
"Only registered customers","Nur registrierte Kunden"
"Only guest customers","Nur Gäste"
"Enable/Disable Address Fields","Aktiviere/Deaktiviere Adressenfelder"
"Region","Region"
"Zip/Postcode","Postleitzahl"
"Newsletter Checkbox","Newsletter Checkbox"
"Sort Address Fields","Sortiere Adressfelder"
"Company Order","Firma"
"Country Order","Land"
"City Order","Stadt"
"Telephone Order","Telefon"
"Fax Order","Fax"
"Region Order","Region"
"Address Order","Adresse"
"Zip/Postcode Order","Postleitzahl"
"Terms & Conditions","Allgemeine Geschäftsbedingungen"
"Enable Terms and Conditions","Aktiviere AGBs"
"Terms and Conditions Text","AGB Text"
"Popup Width in Pixels","Pop-up Breite in Pixel"
"Popup Height in Pixels","Pop-up Höhe in Pixel"
"Enable","Aktivieren"
"Disable","Deaktivieren"
"Required","Pflichtfeld"
"Optional","Freiwillig"
"Yes","Ja"
"No","Nein"
