"Billing address","Adresse de facturation"
"Shipping address","Adresse de livraison"
"Shipping method","Mode de livraison"
"Time of Delivery","Délais de livraison"
"Payment methods","Modes de paiement"
"Order Review","Aperçu de la commande"
"First Name","Prénom"
"Last Name","Nom"
"Email Address","Adresse email"
"Company","Société"
"Country","Pays"
"State/Province","Etat/Province"
"Zip/Postal","Code postal"
"City","Ville"
"Address","Adresse"
"Telephone","Téléphone"
"Fax","Fax"
"Tax/VAT number","Taxes/numéro de TVA"
"Date of Birth","Date de naissance"
"Gender","Sexe"
"Prefix","Préfixe"
"M.I.","M.I."
"Suffix","Suffixe"
"MM","MM"
"DD","JJ"
"YYYY","AAAA"
"Save in address book","Enregistrez dans le répertoire"
"Create Account","Créer compte"
"Password","Mot de passe"
"Confirm Password","Confirmer mot de passe"
"Ship to billing address","Livrez à  l'adresse de facturation"
"Comments","Votre commentaire"
"Already registered? Click here to login.","Déjà enregistré ? Cliquez ici pour vous connecter"
"Customer Login","Identifiant client"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"">Terms and Conditions</a>","J'accepte <a class=""terms-link"" href=""%s"""" rel=""#terms-block"">les Conditions Générales</a>"
"Login","Identifiant"
"Forgot Your Password?","Mot de passe oublié?"
"Place Order","Passez une commande"
"Subscribe to newsletter","S'inscrire à la newsletter"
"* This field is required","* Ce champ est obligatoire"
"* Please select an option","* Veuillez sélectionner une option"
"* This checkbox is required","* Cette case à cocher est obligatoire"
"*Between ","* Entre "
" and "," et "
"characters allowed","caractères autorisés"
"* Checks allowed Exceeded","* autorisation dépassé"
"* Please select ","* Veuillez sélectionner"
" options"," des options"
"* Your field is not matching","* Le champ de correspond pas"
"* Invalid phone number","* Numéro de téléphone invalide"
"* Invalid email address","* Adresse email invalide"
"* Invalid date, must be in YYYY-MM-DD format","* Date invalide, elle doit être au format AAAA-MM-JJ"
"* Numbers only","* Nombres uniquement"
"* This user is available","* Cet  utilisateur est disponible"
"* Loading, please wait","* Chargement, veuillez patienter"
"* This user is already taken","* Cet utilisateur est déjà utilisé"
"* This name is already taken","* Ce nom est déjà utilisé"
"* This name is available","* Ce nom est disponible"
"* Letters only","* Lettres uniquement"
"* You must have a firstname and a lastname","* Vous devez avoir un nom et un prénom"
"Check this checkbox if you want to add gift messages.","Cochez cette case si vous voulez acheter des messages cadeaux."
"Enter a gift message for entire order.","Entrez un message cadeau pour toute la commande."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Vous pouvez laisser cette boîte de dialogue vide si vous ne voulez pas ajouter un message cadeau."
"From","De"
"To","à"
"Message","Message"
"Item %d of %d","Article %d de %d"
"Updating information, please wait...","Mise à jour des informations, veuillez patienter..."
"General","Général"
"Enable LightCheckout","Activer la LightCheckout"
"Default Country","Pays par défaut"
"Default Shipping Method","Mode de livraison par défaut"
"Default Payment Method","Mode de paiement par défaut"
"Page Title","Titre de la page"
"Page Content","Contenu de la page"
"Enable Different Shipping Address","Activer l'adresse d'expédition différente"
"Enable Delivery Date","Activer la date de livraison"
"Enable GeoIP for Country","Activer GeoIP pour le pays"
"Registration","Enregistrement"
"Checkout Mode","Mode de vérification"
"Registered and guest customers","Clients enregistrés et invités"
"Only registered customers","Uniquement clients enregistrés"
"Only guest customers","Uniquement pour les invités"
"Enable/Disable Address Fields","Activer/Désactiver les champs adresse"
"Region","Région"
"Zip/Postcode","Zip/Code postal"
"Newsletter Checkbox","Case à cocher newsletter"
"Sort Address Fields","Trier par le champ adresse"
"Company Order","Société commanditaire"
"Country Order","Pays de la commande"
"City Order","Ville de la commande"
"Telephone Order","Téléphone de la commande"
"Fax Order","Fax de la commanditaire"
"Region Order","Région de la commanditaire"
"Address Order","Addresse de la commande"
"Zip/Postcode Order","Zip/Code postal de la commande"
"Terms & Conditions","Conditions Générales"
"Enable Terms and Conditions","Activer Conditions Générales"
"Terms and Conditions Text","Texte des Conditions Générales"
"Popup Width in Pixels","Largeur de la popup en Pixels"
"Popup Height in Pixels","Hauteur de la popup Pixels"
"Enable","Activer"
"Disable","Désactiver"
"Required","Requis"
"Optional","Optionnel"
"Yes","Oui"
"No","Non"
