"Billing address","Faktureringsadresse"
"Shipping address","Leveranse-adresse"
"Shipping method","Fraktmetode"
"Time of Delivery","Leveransetidspunkt"
"Payment methods","Betalingsmetode"
"Order Review","Bestillingsoversikt"
"First Name","Fornavn"
"Last Name","Etternavn"
"Email Address","E-postadresse"
"Company","Selskap"
"Country","Land"
"State/Province","Delstat/Provins"
"Zip/Postal","Postnummer"
"City","By"
"Address","Adresse"
"Telephone","Telefon"
"Fax","Fax"
"Tax/VAT number","Skatt/MVA-nummer"
"Date of Birth","Fødselsdato"
"Gender","Kjønn"
"Prefix","Prefiks"
"M.I.","Mellomnavn initial"
"Suffix","Suffiks"
"MM","MM"
"DD","DD"
"YYYY","ÅÅÅÅ"
"Save in address book","Lagre i adresseboken"
"Create Account","Opprette konto"
"Password","Passord"
"Confirm Password","Bekreft Passord"
"Ship to billing address","Levering till faktureringsadresse"
"Comments","Kommentarer"
"Already registered? Click here to login.","Allerede registrert? Klikk her for å logge inn"
"Customer Login","Innlogging Kunde"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"">Terms and Conditions</a>","Jeg aksepterer <a class=""terms-link"" href=""%s"" rel=""#terms-block"">Vilkår og Betingelser</a>"
"Login","Logg inn"
"Forgot Your Password?","Glemt passordet?"
"Place Order","Bestill"
"Subscribe to newsletter","Abonnere på nyhetsbrev"
"* This field is required","* Dette feltet er obligatorisk"
"* Please select an option","* Velg et alternativ"
"* This checkbox is required","* Denne avmerkingsboksen er obligatorisk"
"*Between ","* Mellom "
" and "," og "
"characters allowed"," tilatte tegn"
"* Checks allowed Exceeded","* Tillatte avmerkinger Overskredet"
"* Please select ","* Velg "
" options"," alternativ"
"* Your field is not matching","* Feltet ditt matcher ikke"
"* Invalid phone number","* Ugyldig telefonnummer"
"* Invalid email address","* Ugyldig e-postadresse"
"* Invalid date, must be in YYYY-MM-DD format","* Ugyldig dato, må være i ÅÅÅÅ-MM-DD format"
"* Numbers only","* Kun tall"
"* This user is available","* Denne brukeren er ledig"
"* Loading, please wait","* Laster opp, vennligst vent"
"* This user is already taken","* Denne brukeren er allerede opptatt"
"* This name is already taken","* Dette navnet er allerede i bruk"
"* This name is available","* Dette navnet er ledig"
"* Letters only","* Kun bokstaver"
"* You must have a firstname and a lastname","* Du må ha et fornavn og et etternavn"
"Check this checkbox if you want to add gift messages.","Kryss av denne avmerkingsruten for gave-meldinger"
"Enter a gift message for entire order.","Skriv en gavemelding for hele bestillingen"
"You can leave this box blank if you do not wish to add a gift message for whole order.","Du kan hoppe over denne ruten om du ikke ønsker å legge til en gavemelding for hele bestillingen. "
"From","Fra"
"To","Til"
"Message","Melding"
"Item %d of %d","Artikkel %d i %d"
"Updating information, please wait...","Oppdatering av informasjon, vennligst vent…"
"General","Generelt"
"Enable LightCheckout","Aktiver LightCheckout"
"Default Country","Standard Land"
"Default Shipping Method","Standard Fraktmetode"
"Default Payment Method","Standard Betalingsmetode"
"Page Title","Sidetittel"
"Page Content","Side-innhold"
"Enable Different Shipping Address","Aktiver Endret Leveranse-adresse"
"Enable Delivery Date","Aktiver Leveringsdato"
"Enable GeoIP for Country","Aktiver GeoIP for Land"
"Registration","Registrering"
"Checkout Mode","Utsjekkingsmåte"
"Registered and guest customers","Registrerte og gjestekunder"
"Only registered customers","Kun registrerte kunder"
"Only guest customers","Kun gjestekunder"
"Enable/Disable Address Fields","Aktiver/Kople ut Adressefeltene"
"Region","Region"
"Zip/Postcode","Postnummer"
"Newsletter Checkbox","Nyhetsbrev Avmerkningsrute"
"Sort Address Fields","Sortere Adressefelter"
"Company Order","Selskap Bestilling"
"Country Order","Land Bestilling"
"City Order","By Bestilling"
"Telephone Order","Telefon Bestilling"
"Fax Order","Fax Bestilling"
"Region Order","Region Bestilling"
"Address Order","Adresse Bestilling"
"Zip/Postcode Order","Postnummer Bestilling"
"Terms & Conditions","Vilkår og Betingelser"
"Enable Terms and Conditions","Aktiver Vilkår og Betingelser"
"Terms and Conditions Text","Vilkår og Betingelser Tekst"
"Popup Width in Pixels","Popup Bredde i Pixler"
"Popup Height in Pixels","Popup Høyde i Pixler"
"Enable","Aktiver"
"Disable","Kople ut"
"Required","Obligatorisk"
"Optional","Valgfritt"
"Yes","Ja"
"No","Nei"
