"Billing address","Factuuradres"
"Shipping address","Verzendadres"
"Shipping method","Verzendingsmethode"
"Time of Delivery","Moment van levering"
"Payment methods","Betalingsmethode"
"Order Review","Bekijk bestelling"
"First Name","Voornaam"
"Last Name","Achternaam"
"Email Address","Emailadres"
"Company","Bedrijf"
"Country","Land"
"State/Province","Staat/provincie"
"Zip/Postal","Postcode"
"City","Stad"
"Address","Adres"
"Telephone","Telefoon"
"Fax","Fax"
"Tax/VAT number","Btw nummer"
"Date of Birth","Geboortedatum"
"Gender","Geslacht"
"Prefix","Voorvoegsel"
"M.I.","Tussenvoegsels"
"Suffix","Achtervoegsel"
"MM","MM"
"DD","DD"
"YYYY","JJJJ"
"Save in address book","Oplsaan in adreslijst"
"Create Account","Account aanmaken"
"Password","Wachtwoord"
"Confirm Password","Bevestig wachtwoord"
"Ship to billing address","Verzend naar factuuradres"
"Comments","Opmerkingen"
"Already registered? Click here to login.","Al geregistreerd? Klik hier om in te loggen."
"Customer Login","Klanten login"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"">Terms and Conditions</a>","Ik accepteer <a class=""terms-link"" href=""%s"" rel=""#terms-block"">voorwaarden</a>"
"Login","Login"
"Forgot Your Password?","Wachtwoord vergeten?"
"Place Order","Plaats bestelling"
"Subscribe to newsletter","Aboneer op nieuwsbrief"
"* This field is required","* Dit veld is verplicht"
"* Please select an option","* Gelieve een optie te selecteren"
"* This checkbox is required","* Deze checkpox is verplicht"
"*Between ","* Tussen "
" and "," en"
"characters allowed","tekens toegestaan"
"* Checks allowed Exceeded","* Meer dan toegestane aantal keuzes"
"* Please select ","* Gelieve "
" options"," opties te selecteren"
"* Your field is not matching","* Uw veld komt niet overeen"
"* Invalid phone number","* Telefoonnummer onjuist"
"* Invalid email address","* Emailadres onjuist"
"* Invalid date, must be in YYYY-MM-DD format","* Datum onjuist, deze dient opgegeven te worden in het formaat: JJJJ-MM-DD."
"* Numbers only","* Alleen nummers toegestaan"
"* This user is available","* Deze gebruiksnaam is beschikbaar"
"* Loading, please wait","* Bezig met laden, een moment alstublieft"
"* This user is already taken","* Deze gebruikersnaam"
"* This name is already taken","* Deze naam is al bezet"
"* This name is available","* Deze naam is beschikbaar"
"* Letters only","* Alleen letters toegestaan"
"* You must have a firstname and a lastname","* U bent verplicht een voor- en achternaam in te voeren"
"Check this checkbox if you want to add gift messages.","Vink deze checkbox aan indien u een cadeau tekst wilt toevoegen."
"Enter a gift message for entire order.","Voer een cadeau tekst in voor de hele bestelling."
"You can leave this box blank if you do not wish to add a gift message for whole order.","U kunt dit veld open laten indien u geen cadeau tekst wilt toevoegen."
"From","Van"
"To","Aan"
"Message","Bericht"
"Item %d of %d","Artikel %d van de %d"
"Updating information, please wait...","Informatie wordt bijgewerkt, een moment alstublieft…"
"General","Algemeen"
"Enable LightCheckout","Stel LightCheckout in"
"Default Country","Standaardinstelling land"
"Default Shipping Method","Standaard ingestelde verzendingsmethode"
"Default Payment Method","Standaard ingestelde betalingsmethode"
"Page Title","Pagina titel"
"Page Content","Pagina inhoud"
"Enable Different Shipping Address","Stel verschillende verzendingsadressen in"
"Enable Delivery Date","Stel datum aflevering in"
"Enable GeoIP for Country","Stel IP Geolocation in"
"Registration","Registratie"
"Checkout Mode","Uitcheck methode"
"Registered and guest customers","Geregistrerende gebruikers en gasten"
"Only registered customers","Alleen geregistreerde gebruikers"
"Only guest customers","Alleen gasten"
"Enable/Disable Address Fields","Adres velden activeren/uitschakelen"
"Region","Regio"
"Zip/Postcode","Postcode"
"Newsletter Checkbox","Nieuwsbrief checkbox"
"Sort Address Fields","Sorteer adres velden"
"Company Order","Bestelling: bedrijf"
"Country Order","Bestelling: land"
"City Order","Bestelling: stad"
"Telephone Order","Bestelling: telefoon"
"Fax Order","Bestelling: fax"
"Region Order","Bestelling: regio"
"Address Order","Bestelling: adres"
"Zip/Postcode Order","Bestelling: Postcode"
"Terms & Conditions","Voorwaarden"
"Enable Terms and Conditions","Stel voorwaarden in"
"Terms and Conditions Text","Tekst voorwaarden"
"Popup Width in Pixels","Popup breedte in pixels"
"Popup Height in Pixels","Popup hoogte in pixels"
"Enable","Activeren"
"Disable","Uitschakelen"
"Required","Verplicht"
"Optional","Optioneel"
"Yes","Ja"
"No","Nee"
