"﻿""Billing address""","Платёжный адрес"
"Shipping address","Адрес доставки"
"Shipping method","Способ доставки"
"Time of Delivery","Время доставки"
"Payment methods","Способ оплаты"
"Order Review","Обзор Заказа"
"First Name","Имя"
"Last Name","Фамилия"
"Email Address","Электронная почта"
"Company","Компания"
"Country","Страна"
"State/Province","Область/Край"
"Zip/Postal","Индекс"
"City","Город"
"Address","Адрес"
"Telephone","Телефон"
"Fax","Факс"
"Tax/VAT number","Идентификационный номер"
"Date of Birth","Дата рождения"
"Gender","Пол"
"Prefix","Префикс"
"M.I.","M.I."
"Suffix","Суффикс"
"MM","месяц"
"DD","день"
"YYYY","год"
"Save in address book","Сохранить в адресной книге"
"Create Account","Создать аккаунт"
"Password","Пароль"
"Confirm Password","Повтор пароля"
"Ship to billing address","Доставить на платёжный адрес"
"Comments","Комментарии"
"Already registered? Click here to login.","Зарегистрированы? Нажмите здесь, чтобы Войти"
"Customer Login","Вход Пользователя"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"">Terms and Conditions</a>","Я принимаю <a class=""terms-link"" href=""%s"" rel=""#terms-block"">Условия и положения</a>"
"Login","Войти"
"Forgot Your Password?","Забыли пароль?"
"Place Order","Разместить заказ"
"Subscribe to newsletter","Подписаться на новости"
"* This field is required","* Это обязательное поле"
"* Please select an option","* Пожалуйста, выберите значение"
"* This checkbox is required","* Это обязательный чекбокс"
"*Between ","*Между"
" and "," и"
"characters allowed","символы разрешены"
"* Checks allowed Exceeded","* Checks allowed Exceeded"
"* Please select ","* Пожалуйста, выберите"
" options"," значения"
"* Your field is not matching","* Поля не совпадают"
"* Invalid phone number","* Неправильный телефонный номер"
"* Invalid email address","* Неправильный адрес электронной почты"
"* Invalid date, must be in YYYY-MM-DD format","* Неправильная дата. Возможно формат должен быть Год-Месяц-День"
"* Numbers only","* Только числа"
"* This user is available","* Этот пользователь доступен"
"* Loading, please wait","* Загружается, пожалуйста, подождите"
"* This user is already taken","* Этот пользователь уже существует"
"* This name is already taken","* Это имя уже занято"
"* This name is available","* Это имя доступно"
"* Letters only","* Только письма"
"* You must have a firstname and a lastname","* Вы должны ввести имя и фамилию"
"Check this checkbox if you want to add gift messages.","Добавить поздравительное сообщение"
"Enter a gift message for entire order.","Введите поздравительное сообщение для всего заказа."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Вы можете оставить это поле пустым, если не хотите добавлять поздравительное сообщение для всего заказа."
"From","От"
"To","Для"
"Message","Сообщение"
"Item %d of %d","Товар %d из %d"
"Updating information, please wait...","Обновление информации, пожалуйста, подождите..."
"General","Общие"
"Enable LightCheckout","Включить LightCheckout"
"Default Country","Страна по умолчанию"
"Default Shipping Method","Способ доставки по умолчанию"
"Default Payment Method","Способ оплаты по умолчанию"
"Page Title","Название во вкладке"
"Page Content","Содержимое страницы"
"Enable Different Shipping Address","Включить доставку на другие адреса"
"Enable Delivery Date","Включить Время доставки"
"Enable GeoIP for Country","Включить GeoIP для стран"
"Registration","Регистрация"
"Checkout Mode","Оформление заказа доступно"
"Registered and guest customers","Зарегистрированным пользователям и гостям"
"Only registered customers","Только зарегистрированным пользователям"
"Only guest customers","Только гостям"
"Enable/Disable Address Fields","Включить/Выключить поля для Адреса"
"Region","Область/Край"
"Zip/Postcode","Индекс"
"Newsletter Checkbox","Подписка на новости"
"Sort Address Fields","Расположение полей в Адресе"
"Company Order","Компания (расположение)"
"Country Order","Страна (расположение)"
"City Order","Город (расположение)"
"Telephone Order","Телефон (расположение)"
"Fax Order","Факс (расположение)"
"Region Order","Область/Край (расположение)"
"Address Order","Адрес (расположение)"
"Zip/Postcode Order","Индекс (расположение)"
"Terms & Conditions","Условия и положения"
"Enable Terms and Conditions","Включить Условия и положения"
"Terms and Conditions Text","Текст Условий и положений"
"Popup Width in Pixels","Ширина окна в пикселях"
"Popup Height in Pixels","Высота окна в пикселях"
"Enable","Включено"
"Disable","Выключено"
"Required","Обязательное поле"
"Optional","Необязательное поле"
"Yes","Да"
"No","Нет"
