"Billing address","Faktureringsadress"
"Shipping address","Leveransadress"
"Shipping method","Frakt metod"
"Time of Delivery","Leveransen"
"Payment methods","Betalningssätt"
"Order Review","Beställ Review"
"First Name","Förnamn"
"Last Name","Efternamn"
"Email Address","E-postadress"
"Company","Företag"
"Country","Land"
"State/Province","Delstat/Provins"
"Zip/Postal","Postnummer"
"City","Stad"
"Address","Adress"
"Telephone","Telefon"
"Fax","Fax"
"Tax/VAT number","Moms-nummer/Tassa"
"Date of Birth","Födelsedatum"
"Gender","Kön"
"Prefix","Prefisso"
"M.I.","Mellannamn initial"
"Suffix","Suffisso"
"MM","MM"
"DD","GG"
"YYYY","AAAA"
"Save in address book","Spara i adressboken"
"Create Account","Skapa konto"
"Password","Lösenord"
"Confirm Password","Bekräfta lösenord"
"Ship to billing address","Levererar till faktureringsadress"
"Comments","Kommentarer"
"Already registered? Click here to login.","Redan registrerad? Klicka här för att logga in"
"Customer Login","Kund Logga in"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"">Terms and Conditions</a>","Jag accepterar <a class=""terms-link"" href=""%s"" rel=""#terms-block"">Allmänna villkor</a>"
"Login","Logga in"
"Forgot Your Password?","Glömt ditt lösenord?"
"Place Order","Placera Order"
"Subscribe to newsletter","Prenumerera på nyhetsbrev"
"* This field is required","* Detta fält är skyldig"
"* Please select an option","* Välj ett alternativ"
"* This checkbox is required","* Detta kryssrutan krävs"
"*Between ","* Mellan "
" and "," och "
"characters allowed","tillåtna tecken"
"* Checks allowed Exceeded","* Kontroller tillåtna överskrids"
"* Please select ","* Välj "
" options"," alternativ"
"* Your field is not matching","* Din fält inte matchande"
"* Invalid phone number","* Ogiltigt telefonnummer"
"* Invalid email address","* Ogiltig e-postadress"
"* Invalid date, must be in YYYY-MM-DD format","* Ogiltigt datum, skall vara i ÅÅÅÅ-MM-DD format"
"* Numbers only","* Flera siffror"
"* This user is available","* Den här användaren är tillgänglig"
"* Loading, please wait","* Laddar, var god vänta"
"* This user is already taken","* Denna användare har redan vidtagits"
"* This name is already taken","* Detta namn används redan"
"* This name is available","* Detta namn är tillgängligt"
"* Letters only","* Bara alfabet"
"* You must have a firstname and a lastname","* Du måste ha ett förnamn och ett efternamn"
"Check this checkbox if you want to add gift messages.","Markera den här kryssrutan om du vill lägga gåva meddelanden"
"Enter a gift message for entire order.","Skriv en gåva budskap för hela beställningen"
"You can leave this box blank if you do not wish to add a gift message for whole order.","Du kan lämna rutan tom om du inte vill lägga en gåva budskap för hela beställningen"
"From","Från"
"To","Till"
"Message","Meddelande"
"Item %d of %d","Articolo %d i %d"
"Updating information, please wait...","Uppdatering av information, var god vänta..."
"General","Allmänt"
"Enable LightCheckout","Aktivera LightCheckout"
"Default Country","Standard Land"
"Default Shipping Method","Standard fraktmetoden"
"Default Payment Method","Standard betalningsmetod"
"Page Title","Sidrubrik"
"Page Content","Sidinnehåll"
"Enable Different Shipping Address","Aktivera annan leveransadress"
"Enable Delivery Date","Aktivera leveransdatum"
"Enable GeoIP for Country","Aktivera GeoIP för Land"
"Registration","Registrering"
"Checkout Mode","Kassa Mode"
"Registered and guest customers","Registrerade och gäst kunder"
"Only registered customers","Endast registrerade kunder"
"Only guest customers","Endast gäst kunder"
"Enable/Disable Address Fields","Aktivera/Inaktivera Adressfält"
"Region","Regione"
"Zip/Postcode","Postnummer"
"Newsletter Checkbox","Nyhetsbrev Kryssruta"
"Sort Address Fields","Sortera Adress Fält"
"Company Order","Företag Order"
"Country Order","Land Order"
"City Order","Stad Order"
"Telephone Order","Telefon Order"
"Fax Order","Ordine via Fax"
"Region Order","Regione dell'Ordine"
"Address Order","Adress Order"
"Zip/Postcode Order","Postnummer Order"
"Terms & Conditions","Almänna Villkor"
"Enable Terms and Conditions","Aktivera Almänna Villkor"
"Terms and Conditions Text","Almänna Villkor Text"
"Popup Width in Pixels","Popup bredd i pixlar"
"Popup Height in Pixels","Popup höjd i pixlar"
"Enable","Aktivera"
"Disable","Inaktivera"
"Required","Obligatoriskt"
"Optional","Valfritt"
"Yes","Ja"
"No","Nej"
